file_name,label,x,y,w,h
单瑕疵图片/不导电/不导电20180830131536对照样本.jpg,0,0,995,2560,414
单瑕疵图片/不导电/不导电20180830131551对照样本.jpg,0,0,1036,2560,447
单瑕疵图片/不导电/不导电20180830131628对照样本.jpg,0,0,979,2560,426
单瑕疵图片/不导电/不导电20180830131827对照样本.jpg,0,0,121,2557,581
单瑕疵图片/不导电/不导电20180830134330对照样本.jpg,0,961,463,1175,271
单瑕疵图片/不导电/不导电20180830134402对照样本.jpg,0,728,314,235,296
单瑕疵图片/不导电/不导电20180830134743对照样本.jpg,0,536,0,306,326
单瑕疵图片/不导电/不导电20180830135013对照样本.jpg,0,0,754,2560,637
单瑕疵图片/不导电/不导电20180830135838对照样本.jpg,0,0,760,2560,435
单瑕疵图片/不导电/不导电20180830140724对照样本.jpg,0,146,169,763,320
单瑕疵图片/不导电/不导电20180830140809对照样本.jpg,0,536,376,333,282
单瑕疵图片/不导电/不导电20180830142508对照样本.jpg,0,0,517,2560,182
单瑕疵图片/不导电/不导电20180830155325对照样本.jpg,0,0,1230,2560,379
单瑕疵图片/不导电/不导电20180831100602对照样本.jpg,0,0,1281,2560,377
单瑕疵图片/不导电/不导电20180831100625对照样本.jpg,0,0,1297,2560,394
单瑕疵图片/不导电/不导电20180831101421对照样本.jpg,0,0,977,2560,426
单瑕疵图片/不导电/不导电20180831101630对照样本.jpg,0,0,973,2560,383
单瑕疵图片/不导电/不导电20180831101642对照样本.jpg,0,0,1103,2560,343
单瑕疵图片/不导电/不导电20180831101753对照样本.jpg,0,0,1331,2560,327
单瑕疵图片/不导电/不导电20180831101841对照样本.jpg,0,0,1115,2560,325
单瑕疵图片/不导电/不导电20180831102055对照样本.jpg,0,0,707,2560,665
单瑕疵图片/不导电/不导电20180831102726对照样本.jpg,0,0,658,2560,929
单瑕疵图片/不导电/不导电20180831102759对照样本.jpg,0,0,858,2560,937
单瑕疵图片/不导电/不导电20180831102813对照样本.jpg,0,0,981,2560,936
单瑕疵图片/不导电/不导电20180831102827对照样本.jpg,0,0,1146,2560,774
单瑕疵图片/不导电/不导电20180831102843对照样本.jpg,0,0,824,2560,887
单瑕疵图片/不导电/不导电20180831102911对照样本.jpg,0,0,940,2560,902
单瑕疵图片/不导电/不导电20180831102927对照样本.jpg,0,0,862,2560,884
单瑕疵图片/不导电/不导电20180831102939对照样本.jpg,0,0,977,2560,889
单瑕疵图片/不导电/不导电20180831103739对照样本.jpg,0,0,1128,2560,722
单瑕疵图片/不导电/不导电20180831103823对照样本.jpg,0,0,1009,2560,794
